Currency,Term,Unit,Ticker
EUR,1,w,EESWE1Z BGN Curncy
EUR,2,w,EESWE2Z BGN Curncy
EUR,1,m,EESWEA BGN Curncy
EUR,3,m,EESWEC BGN Curncy
EUR,6,m,EESWEF BGN Curncy
EUR,9,m,EESWEI BGN Curncy
EUR,1,y,EESWE1 BGN Curncy
EUR,2,y,EESWE2 BGN Curncy
EUR,3,y,EESWE3 BGN Curncy
EUR,4,y,EESWE4 BGN Curncy
EUR,5,y,EESWE5 BGN Curncy
EUR,6,y,EESWE6 BGN Curncy
EUR,7,y,EESWE7 BGN Curncy
EUR,8,y,EESWE8 BGN Curncy
EUR,9,y,EESWE9 BGN Curncy
EUR,10,y,EESWE10 BGN Curncy
EUR,12,y,EESWE12 BGN Curncy
EUR,15,y,EESWE15 BGN Curncy
EUR,20,y,EESWE20 BGN Curncy
EUR,25,y,EESWE25 BGN Curncy
EUR,30,y,EESWE30 BGN Curncy
GBP,1,w,BPSWS1Z BGN Curncy
GBP,2,w,BPSWS2Z BGN Curncy
GBP,1,m,BPSWSA BGN Curncy
GBP,3,m,BPSWSC BGN Curncy
GBP,6,m,BPSWSF BGN Curncy
GBP,9,m,BPSWSI BGN Curncy
GBP,1,y,BPSWS1 BGN Curncy
GBP,2,y,BPSWS2 BGN Curncy
GBP,3,y,BPSWS3 BGN Curncy
GBP,4,y,BPSWS4 BGN Curncy
GBP,5,y,BPSWS5 BGN Curncy
GBP,6,y,BPSWS6 BGN Curncy
GBP,7,y,BPSWS7 BGN Curncy
GBP,8,y,BPSWS8 BGN Curncy
GBP,9,y,BPSWS9 BGN Curncy
GBP,10,y,BPSWS10 BGN Curncy
GBP,12,y,BPSWS12 BGN Curncy
GBP,15,y,BPSWS15 BGN Curncy
GBP,20,y,BPSWS20 BGN Curncy
GBP,25,y,BPSWS25 BGN Curncy
GBP,30,y,BPSWS30 BGN Curncy
USD,1,w,USOSFR1Z BGN Curncy
USD,2,w,USOSFR2Z BGN Curncy
USD,1,m,USOSFRA BGN Curncy
USD,3,m,USOSFRC BGN Curncy
USD,6,m,USOSFRF BGN Curncy
USD,9,m,USOSFRI BGN Curncy
USD,1,y,USOSFR1 BGN Curncy
USD,2,y,USOSFR2 BGN Curncy
USD,3,y,USOSFR3 BGN Curncy
USD,4,y,USOSFR4 BGN Curncy
USD,5,y,USOSFR5 BGN Curncy
USD,6,y,USOSFR6 BGN Curncy
USD,7,y,USOSFR7 BGN Curncy
USD,8,y,USOSFR8 BGN Curncy
USD,9,y,USOSFR9 BGN Curncy
USD,10,y,USOSFR10 BGN Curncy
USD,12,y,USOSFR12 BGN Curncy
USD,15,y,USOSFR15 BGN Curncy
USD,20,y,USOSFR20 BGN Curncy
USD,25,y,USOSFR25 BGN Curncy
USD,30,y,USOSFR30 BGN Curncy
JPY,1,w,JYSO1Z BGN Curncy
JPY,2,w,JYSO2Z BGN Curncy
JPY,1,m,JYSOA BGN Curncy
JPY,3,m,JYSOC BGN Curncy
JPY,6,m,JYSOF BGN Curncy
JPY,9,m,JYSOI BGN Curncy
JPY,1,y,JYSO1 BGN Curncy
JPY,2,y,JYSO2 BGN Curncy
JPY,3,y,JYSO3 BGN Curncy
JPY,4,y,JYSO4 BGN Curncy
JPY,5,y,JYSO5 BGN Curncy
JPY,6,y,JYSO6 BGN Curncy
JPY,7,y,JYSO7 BGN Curncy
JPY,8,y,JYSO8 BGN Curncy
JPY,9,y,JYSO9 BGN Curncy
JPY,10,y,JYSO10 BGN Curncy
JPY,12,y,JYSO12 BGN Curncy
JPY,15,y,JYSO15 BGN Curncy
JPY,20,y,JYSO20 BGN Curncy
JPY,25,y,JYSO25 BGN Curncy
JPY,30,y,JYSO30 BGN Curncy
AUD,1,w,ADSO1Z CMPN Curncy
AUD,1,m,ADSOA CMPN Curncy
AUD,3,m,ADSOC CMPN Curncy
AUD,6,m,ADSOF CMPN Curncy
AUD,9,m,ADSOI CMPN Curncy
AUD,1,y,ADSO1 CMPN Curncy
AUD,2,y,ADSO2 CMPN Curncy
AUD,3,y,ADSO3 CMPN Curncy
AUD,4,y,ADSO4 CMPN Curncy
AUD,5,y,ADSO5 CMPN Curncy
AUD,6,y,ADSO6 CMPN Curncy
AUD,7,y,ADSO7 CMPN Curncy
AUD,8,y,ADSO8 CMPN Curncy
AUD,9,y,ADSO9 CMPN Curncy
AUD,10,y,ADSO10 CMPN Curncy
AUD,12,y,ADSO12 CMPN Curncy
AUD,15,y,ADSO15 CMPN Curncy
AUD,20,y,ADSO20 CMPN Curncy
AUD,25,y,ADSO25 CMPN Curncy
AUD,30,y,ADSO30 CMPN Curncy
CAD,1,w,CDSO1Z BGN Curncy
CAD,1,m,CDSOA BGN Curncy
CAD,3,m,CDSOC BGN Curncy
CAD,6,m,CDSOF BGN Curncy
CAD,9,m,CDSOI BGN Curncy
CAD,1,y,CDSO1 BGN Curncy
CAD,2,y,CDSO2 BGN Curncy
CAD,3,y,CDSO3 BGN Curncy
CAD,4,y,CDSO4 BGN Curncy
